driver;fp1 result;fp1 time;fp1 laps;fp1 gap;fp2 result;fp2 time;fp2 laps;fp2 gap;fp3 result;fp3 time;fp3 laps;fp3 gap;quali 1 result;quali 1 time;quali 1 gap;quali 2 result;quali 2 time;quali 2 gap;quli 3 result;quali 3 time;quali 3 gap;Race Result;Race Time in sec;Race fastest lap position;Race Fastest lap time;Race Fastest lap Gap;Race Fastest lap avg. Speed;Race num pit stops;Race total pit stop time
Kevin Magnussen;9;92.971;19;1.911;15;91.969;35;2.152;15;91.737;1.869;14;7;89.594;6.498;7;89.623;7.679;7;89.358;7.520;5;5596.986;5;94.327;7.308;206.549;2;49.735
Esteban Ocon;19;93.794;23;2.734;13;91.809;31;1.992;13;91.554;1.686;17;12;90.338;7.242;10;90.009;8.065;9;89.874;8.036;10;;12;95.043;8.024;204.993;2;49.315
Sergio Perez;18;93.662;26;2.602;14;91.868;34;2.051;14;91.564;1.696;14;10;90.218;7.122;12;90.156;8.212;12;90.156;8.318;16;;14;95.075;8.056;204.924;2;49.669
Kimi Raikkonen;3;91.458;18;0.398;1;89.817;32;0.000;1;89.868;0.000;15;1;88.951;5.855;3;88.515;6.571;2;88.101;6.263;18;;6;94.337;7.318;206.527;1;25.018
Daniel Ricciardo;1;91.060;14;0.000;6;90.751;31;0.934;3;90.452;0.584;8;6;89.552;6.456;5;88.962;7.018;5;88.398;6.560;20;;;;0.000;;;
Carlos Sainz;8;92.885;21;1.825;12;91.601;34;1.784;8;91.200;1.332;12;8;89.893;6.797;8;89.802;7.858;10;89.986;8.148;11;;18;95.535;8.516;203.937;2;51.075
Sergei Sirotkin;15;93.467;29;2.407;18;92.474;37;2.657;19;92.463;2.595;11;18;91.414;8.318;18;91.414;9.470;18;91.414;9.576;15;;8;94.563;7.544;206.034;2;50.365
Lance Stroll;14;93.379;22;2.319;17;92.382;37;2.565;20;92.865;2.997;12;20;91.503;8.407;20;91.503;9.559;20;91.503;9.665;14;;17;95.266;8.247;204.513;2;58.250
Stoffel Vandoorne;13;93.364;25;2.304;10;91.422;35;1.605;17;91.860;1.992;14;14;90.479;7.383;14;90.525;8.581;14;90.479;8.641;8;;16;95.131;8.112;204.803;2;50.212
Max Verstappen;20;;2;;5;90.745;32;0.928;2;90.393;0.525;8;4;89.374;6.278;15;;;15;89.374;7.536;19;;;;0.000;;1;30.381
Sebastian Vettel;4;91.47;17;0.410;2;89.828;37;0.011;5;90.719;0.851;8;2;89.06;5.964;1;88.341;6.397;1;87.958;6.12;1;5521.940;7;94.453;7.434;206.274;1;24.524
Fernando Alonso;12;96.044;2.045;29;10;94.632;1.150;23;12;94.851;1.833;13;9;93.428;1.257;13;93.232;1.318;13;93.232;11.394;7;5767.019;7;97.234;11.289;201.818;1;24.11
Valtteri Bottas;3;94.457;0.458;28;3;93.515;0.033;27;3;93.761;0.743;16;3;92.921;0.750;2;92.063;0.149;3;91.625;9.787;2;5745.274;6;96.987;11.042;202.332;1;22.097
Marcus Ericsson;19;96.909;2.910;21;17;95.624;2.142;29;19;95.679;2.661;13;20;94.914;2.743;20;94.914;3.000;20;94.914;13.076;16;5798.984;16;98.386;12.441;199.455;1;22.785
Pierre Gasly;11;96.037;2.038;21;12;94.849;1.367;33;16;95.079;2.061;16;17;94.101;1.930;17;94.101;2.187;17;94.101;12.263;18;66.33;15;98.367;12.422;199.493;2;58.6
Romain Grosjean;9;95.718;1.719;21;19;96.471;2.989;26;20;95.756;2.738;6;5;93.238;1.067;6;92.524;0.610;10;92.855;11.017;17;5801.676;8;97.410;11.465;201.453;2;46.716
Lewis Hamilton;1;93.999;0.000;22;1;93.482;0.000;26;5;94.057;1.039;14;6;93.283;1.112;1;91.914;0.000;4;91.675;9.837;4;5753.365;4;96.878;10.933;202.559;1;22.464
